# ell observed_D_uK2 conditional_model_D_coadded_uK2 error_minus_uK2 error_plus_uK2 residual_over_quoted_error
235 2.26119524000000e+01 3.82254809621866e+01 1.04734204000000e+01 1.04734204000000e+01 -1.49077645753498e+00
236 3.97293066000000e+01 3.99149079455900e+01 1.05507726000000e+01 1.05507726000000e+01 -1.75912563588012e-02
237 4.69883001000000e+01 4.16046992799560e+01 1.06295141000000e+01 1.06295141000000e+01 5.06476661999438e-01
238 3.14396157000000e+01 4.32941898561411e+01 1.07095374000000e+01 1.07095374000000e+01 -1.10691748050117e+00
239 5.06155319000000e+01 4.49826405382955e+01 1.07907837000000e+01 1.07907837000000e+01 5.22009477560416e-01
240 6.61506939000000e+01 4.66691639462070e+01 1.08731626000000e+01 1.08731626000000e+01 1.79170777357758e+00
241 6.94287156000000e+01 4.83532439805580e+01 1.09566043000000e+01 1.09566043000000e+01 1.92354045490554e+00
242 3.21661090000000e+01 5.00339936439476e+01 1.10410205000000e+01 1.10410205000000e+01 -1.61831822012717e+00
243 5.80057384000000e+01 5.17106745657796e+01 1.11263489000000e+01 1.11263489000000e+01 5.65779834049639e-01
244 3.98160252000000e+01 5.33826970018032e+01 1.12125051000000e+01 1.12125051000000e+01 -1.20995903063653e+00
245 6.37509259000000e+01 5.50492487440588e+01 1.12994042000000e+01 1.12994042000000e+01 7.70100529366069e-01
246 6.15470337000000e+01 5.67096662094936e+01 1.13869767000000e+01 1.13869767000000e+01 4.24815788944789e-01
247 4.88596090000000e+01 5.83632117853213e+01 1.14751427000000e+01 1.14751427000000e+01 -8.28190379307550e-01
248 5.26032686000000e+01 6.00090738279634e+01 1.15638428000000e+01 1.15638428000000e+01 -6.40427698304872e-01
249 3.77581143000000e+01 6.16466635332378e+01 1.16529791000000e+01 1.16529791000000e+01 -2.04999502944597e+00
250 5.10082119000000e+01 6.32751696276889e+01 1.17424995000000e+01 1.17424995000000e+01 -1.04466325314205e+00
251 3.22947193000000e+01 6.48937068335050e+01 1.18322994000000e+01 1.18322994000000e+01 -2.75508474147510e+00
252 7.24820258000000e+01 6.65016128306066e+01 1.19223323000000e+01 1.19223323000000e+01 5.01614350188291e-01
253 6.38615080000000e+01 6.80980770731246e+01 1.20124807000000e+01 1.20124807000000e+01 -3.52680614348426e-01
254 5.51653114000000e+01 6.96822149746162e+01 1.21026777000000e+01 1.21026777000000e+01 -1.19947865542319e+00
255 6.77468586000000e+01 7.12533647775043e+01 1.21928368000000e+01 1.21928368000000e+01 -2.87587395371709e-01
